ExperimentID,ExperimentName,GameNum,P1_Algo,P1_Heuristic,P1_Depth,P2_Algo,P2_Heuristic,P2_Depth,Winner,Rounds,PlyCount,P1_TotalNodes,P2_TotalNodes,P1_TotalTime_s,P2_TotalTime_s
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),1,minimax,combined,2,minimax,combined,2,B,12,23,6317,5224,0.2253,0.1785
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),2,minimax,combined,2,minimax,combined,2,B,12,23,6317,5224,0.2215,0.1773
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),1,alphabeta,combined,2,alphabeta,combined,2,B,12,23,653,577,0.0180,0.0154
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),2,alphabeta,combined,2,alphabeta,combined,2,B,12,23,653,577,0.0180,0.0153
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),1,minimax,combined,2,alphabeta,combined,2,B,12,23,6317,577,0.2222,0.0160
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),2,minimax,combined,2,alphabeta,combined,2,B,12,23,6317,577,0.2231,0.0154
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),1,alphabeta,combined,2,minimax,combined,2,B,12,23,653,5224,0.0179,0.1790
E1_Algo_Compare,Experiment 1: Algorithm Comparison (Minimax vs Alpha-Beta),2,alphabeta,combined,2,minimax,combined,2,B,12,23,653,5224,0.0180,0.1776
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),1,alphabeta,combined,3,alphabeta,combined,5,W,11,22,6403,113731,0.2109,3.5095
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),2,alphabeta,combined,3,alphabeta,combined,5,W,11,22,6403,113731,0.2099,3.4928
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),1,alphabeta,combined,4,alphabeta,combined,5,W,10,20,16573,113723,0.4618,3.5665
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),2,alphabeta,combined,4,alphabeta,combined,5,W,10,20,16573,113723,0.4563,3.5042
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),1,alphabeta,combined,5,alphabeta,combined,5,B,10,19,147441,113314,4.6936,3.5009
E2_Depth_Impact,Experiment 2: Impact of Search Depth (P1 AlphaBeta vs P2 Fixed),2,alphabeta,combined,5,alphabeta,combined,5,B,10,19,147441,113314,4.6932,3.5436
